# Instruction legality / validation table @ VA 0x22FEE00..0x2339E00 (241664 B = 60416 u32)
# Flat sparse view: every NON-ZERO u32 with its index/VA and value-class.
# Layout is a packed record table (dominant stride 24 B = 6 u32) but record size varies by region;
# the reliable binary facts are the value-classes below. Records group as {key, handler/ptr}.
# value classes: text_handler_ptr=dedicated (opcode,modifier) validator/encoder fn in .text;
#   rodata_subtable_ptr=pointer into nested dispatch sub-table (0x1CE0000-0x2400000);
#   small_key=(format_id<<8)|minor_opcode (same key as per_sm_handler_dispatch);
#   special_validation_sentinel=0x08000000 (no dedicated handler; run generic validation path).
# value_class_totals={'zero': 41330, 'small_key (fmt<<8|minor)': 9721, 'text_handler_ptr': 8087, 'rodata_subtable_ptr': 918, 'special_validation_sentinel': 259, 'other': 101}
dword_index	va	value_hex	value_class	as_key_fmt	as_key_minor
6324	0x23050D0	0x2309CE0	rodata_subtable_ptr		
6326	0x23050D8	0x6	small_key (fmt<<8|minor)	0x0	0x6
6328	0x23050E0	0x2309C40	rodata_subtable_ptr		
6330	0x23050E8	0x6	small_key (fmt<<8|minor)	0x0	0x6
6332	0x23050F0	0x2309BA0	rodata_subtable_ptr		
6334	0x23050F8	0x6	small_key (fmt<<8|minor)	0x0	0x6
6336	0x2305100	0x2309B00	rodata_subtable_ptr		
6338	0x2305108	0x6	small_key (fmt<<8|minor)	0x0	0x6
6340	0x2305110	0x2309A40	rodata_subtable_ptr		
6342	0x2305118	0x7	small_key (fmt<<8|minor)	0x0	0x7
6352	0x2305140	0x2309920	rodata_subtable_ptr		
6354	0x2305148	0xB	small_key (fmt<<8|minor)	0x0	0xB
6356	0x2305150	0x23098E0	rodata_subtable_ptr		
6358	0x2305158	0x2	small_key (fmt<<8|minor)	0x0	0x2
6360	0x2305160	0x23098B0	rodata_subtable_ptr		
6362	0x2305168	0x1	small_key (fmt<<8|minor)	0x0	0x1
6364	0x2305170	0x2309880	rodata_subtable_ptr		
6366	0x2305178	0x2	small_key (fmt<<8|minor)	0x0	0x2
6372	0x2305190	0x2309840	rodata_subtable_ptr		
6374	0x2305198	0x2	small_key (fmt<<8|minor)	0x0	0x2
6376	0x23051A0	0x23097E0	rodata_subtable_ptr		
6378	0x23051A8	0x4	small_key (fmt<<8|minor)	0x0	0x4
6384	0x23051C0	0x23097A0	rodata_subtable_ptr		
6386	0x23051C8	0x2	small_key (fmt<<8|minor)	0x0	0x2
6392	0x23051E0	0x2309770	rodata_subtable_ptr		
6394	0x23051E8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6396	0x23051F0	0x2309740	rodata_subtable_ptr		
6398	0x23051F8	0x2	small_key (fmt<<8|minor)	0x0	0x2
6400	0x2305200	0x2309710	rodata_subtable_ptr		
6402	0x2305208	0x1	small_key (fmt<<8|minor)	0x0	0x1
6404	0x2305210	0x2309500	rodata_subtable_ptr		
6406	0x2305218	0x16	small_key (fmt<<8|minor)	0x0	0x16
6476	0x2305330	0x23094A0	rodata_subtable_ptr		
6478	0x2305338	0x3	small_key (fmt<<8|minor)	0x0	0x3
6480	0x2305340	0x2309460	rodata_subtable_ptr		
6482	0x2305348	0x2	small_key (fmt<<8|minor)	0x0	0x2
6484	0x2305350	0x23093C0	rodata_subtable_ptr		
6486	0x2305358	0x6	small_key (fmt<<8|minor)	0x0	0x6
6488	0x2305360	0x2309390	rodata_subtable_ptr		
6490	0x2305368	0x1	small_key (fmt<<8|minor)	0x0	0x1
6492	0x2305370	0x2309300	rodata_subtable_ptr		
6494	0x2305378	0x6	small_key (fmt<<8|minor)	0x0	0x6
6496	0x2305380	0x2309140	rodata_subtable_ptr		
6498	0x2305388	0x12	small_key (fmt<<8|minor)	0x0	0x12
6500	0x2305390	0x2309020	rodata_subtable_ptr		
6502	0x2305398	0xC	small_key (fmt<<8|minor)	0x0	0xC
6504	0x23053A0	0x2308F00	rodata_subtable_ptr		
6506	0x23053A8	0xB	small_key (fmt<<8|minor)	0x0	0xB
6508	0x23053B0	0x2308EA0	rodata_subtable_ptr		
6510	0x23053B8	0x3	small_key (fmt<<8|minor)	0x0	0x3
6512	0x23053C0	0x2308C20	rodata_subtable_ptr		
6514	0x23053C8	0x1A	small_key (fmt<<8|minor)	0x0	0x1A
6528	0x2305400	0x2308B20	rodata_subtable_ptr		
6530	0x2305408	0xA	small_key (fmt<<8|minor)	0x0	0xA
6536	0x2305420	0x2308AE0	rodata_subtable_ptr		
6538	0x2305428	0x2	small_key (fmt<<8|minor)	0x0	0x2
6544	0x2305440	0x2308AA0	rodata_subtable_ptr		
6546	0x2305448	0x2	small_key (fmt<<8|minor)	0x0	0x2
6548	0x2305450	0x2308A40	rodata_subtable_ptr		
6550	0x2305458	0x3	small_key (fmt<<8|minor)	0x0	0x3
6560	0x2305480	0x2308A00	rodata_subtable_ptr		
6562	0x2305488	0x2	small_key (fmt<<8|minor)	0x0	0x2
6564	0x2305490	0x23089D0	rodata_subtable_ptr		
6566	0x2305498	0x1	small_key (fmt<<8|minor)	0x0	0x1
6572	0x23054B0	0x2308740	rodata_subtable_ptr		
6574	0x23054B8	0x1B	small_key (fmt<<8|minor)	0x0	0x1B
6576	0x23054C0	0x23086C0	rodata_subtable_ptr		
6578	0x23054C8	0x5	small_key (fmt<<8|minor)	0x0	0x5
6580	0x23054D0	0x2308660	rodata_subtable_ptr		
6582	0x23054D8	0x3	small_key (fmt<<8|minor)	0x0	0x3
6584	0x23054E0	0x2308600	rodata_subtable_ptr		
6586	0x23054E8	0x3	small_key (fmt<<8|minor)	0x0	0x3
6588	0x23054F0	0x23085D0	rodata_subtable_ptr		
6590	0x23054F8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6592	0x2305500	0x23085B0	rodata_subtable_ptr		
6594	0x2305508	0x1	small_key (fmt<<8|minor)	0x0	0x1
6624	0x2305580	0x2308560	rodata_subtable_ptr		
6626	0x2305588	0x3	small_key (fmt<<8|minor)	0x0	0x3
6632	0x23055A0	0x2308530	rodata_subtable_ptr		
6634	0x23055A8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6636	0x23055B0	0x2308510	rodata_subtable_ptr		
6638	0x23055B8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6640	0x23055C0	0x23084F0	rodata_subtable_ptr		
6642	0x23055C8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6680	0x2305660	0x23084D0	rodata_subtable_ptr		
6682	0x2305668	0x1	small_key (fmt<<8|minor)	0x0	0x1
6684	0x2305670	0x2308480	rodata_subtable_ptr		
6686	0x2305678	0x3	small_key (fmt<<8|minor)	0x0	0x3
6696	0x23056A0	0x2308420	rodata_subtable_ptr		
6698	0x23056A8	0x3	small_key (fmt<<8|minor)	0x0	0x3
6704	0x23056C0	0x23083E0	rodata_subtable_ptr		
6706	0x23056C8	0x2	small_key (fmt<<8|minor)	0x0	0x2
6708	0x23056D0	0x23083B0	rodata_subtable_ptr		
6710	0x23056D8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6712	0x23056E0	0x2308320	rodata_subtable_ptr		
6714	0x23056E8	0x6	small_key (fmt<<8|minor)	0x0	0x6
6720	0x2305700	0x23082F0	rodata_subtable_ptr		
6722	0x2305708	0x1	small_key (fmt<<8|minor)	0x0	0x1
6740	0x2305750	0x23082D0	rodata_subtable_ptr		
6742	0x2305758	0x1	small_key (fmt<<8|minor)	0x0	0x1
6752	0x2305780	0x23082B0	rodata_subtable_ptr		
6754	0x2305788	0x1	small_key (fmt<<8|minor)	0x0	0x1
6756	0x2305790	0x2308290	rodata_subtable_ptr		
6758	0x2305798	0x1	small_key (fmt<<8|minor)	0x0	0x1
6772	0x23057D0	0x2308260	rodata_subtable_ptr		
6774	0x23057D8	0x2	small_key (fmt<<8|minor)	0x0	0x2
6792	0x2305820	0x23080A0	rodata_subtable_ptr		
6794	0x2305828	0x12	small_key (fmt<<8|minor)	0x0	0x12
6804	0x2305850	0x2307FE0	rodata_subtable_ptr		
6806	0x2305858	0x8	small_key (fmt<<8|minor)	0x0	0x8
6812	0x2305870	0x2307FB0	rodata_subtable_ptr		
6814	0x2305878	0x1	small_key (fmt<<8|minor)	0x0	0x1
6828	0x23058B0	0x2307F90	rodata_subtable_ptr		
6830	0x23058B8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6836	0x23058D0	0x2307F00	rodata_subtable_ptr		
6838	0x23058D8	0x6	small_key (fmt<<8|minor)	0x0	0x6
6868	0x2305950	0x2307E60	rodata_subtable_ptr		
6870	0x2305958	0x6	small_key (fmt<<8|minor)	0x0	0x6
6872	0x2305960	0x2307E40	rodata_subtable_ptr		
6874	0x2305968	0x1	small_key (fmt<<8|minor)	0x0	0x1
6876	0x2305970	0x2307E20	rodata_subtable_ptr		
6878	0x2305978	0x1	small_key (fmt<<8|minor)	0x0	0x1
6896	0x23059C0	0x2307E00	rodata_subtable_ptr		
6898	0x23059C8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6900	0x23059D0	0x2307D80	rodata_subtable_ptr		
6902	0x23059D8	0x5	small_key (fmt<<8|minor)	0x0	0x5
6904	0x23059E0	0x2307D20	rodata_subtable_ptr		
6906	0x23059E8	0x4	small_key (fmt<<8|minor)	0x0	0x4
6912	0x2305A00	0x2307BE0	rodata_subtable_ptr		
6914	0x2305A08	0xD	small_key (fmt<<8|minor)	0x0	0xD
6920	0x2305A20	0x2307B60	rodata_subtable_ptr		
6922	0x2305A28	0x5	small_key (fmt<<8|minor)	0x0	0x5
6924	0x2305A30	0x2307B30	rodata_subtable_ptr		
6926	0x2305A38	0x1	small_key (fmt<<8|minor)	0x0	0x1
6928	0x2305A40	0x2307AE0	rodata_subtable_ptr		
6930	0x2305A48	0x3	small_key (fmt<<8|minor)	0x0	0x3
6936	0x2305A60	0x2307AB0	rodata_subtable_ptr		
6938	0x2305A68	0x1	small_key (fmt<<8|minor)	0x0	0x1
6944	0x2305A80	0x2307A90	rodata_subtable_ptr		
6946	0x2305A88	0x1	small_key (fmt<<8|minor)	0x0	0x1
6956	0x2305AB0	0x2307A70	rodata_subtable_ptr		
6958	0x2305AB8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6968	0x2305AE0	0x2307A50	rodata_subtable_ptr		
6970	0x2305AE8	0x1	small_key (fmt<<8|minor)	0x0	0x1
6972	0x2305AF0	0x2307A20	rodata_subtable_ptr		
6974	0x2305AF8	0x2	small_key (fmt<<8|minor)	0x0	0x2
6976	0x2305B00	0x23079E0	rodata_subtable_ptr		
6978	0x2305B08	0x2	small_key (fmt<<8|minor)	0x0	0x2
6980	0x2305B10	0x2307940	rodata_subtable_ptr		
6982	0x2305B18	0x6	small_key (fmt<<8|minor)	0x0	0x6
6988	0x2305B30	0x23078A0	rodata_subtable_ptr		
6990	0x2305B38	0x6	small_key (fmt<<8|minor)	0x0	0x6
6992	0x2305B40	0x2307840	rodata_subtable_ptr		
6994	0x2305B48	0x4	small_key (fmt<<8|minor)	0x0	0x4
6996	0x2305B50	0x23077E0	rodata_subtable_ptr		
6998	0x2305B58	0x3	small_key (fmt<<8|minor)	0x0	0x3
7000	0x2305B60	0x23077C0	rodata_subtable_ptr		
7002	0x2305B68	0x1	small_key (fmt<<8|minor)	0x0	0x1
7004	0x2305B70	0x2307740	rodata_subtable_ptr		
7006	0x2305B78	0x5	small_key (fmt<<8|minor)	0x0	0x5
7008	0x2305B80	0x2307720	rodata_subtable_ptr		
7010	0x2305B88	0x1	small_key (fmt<<8|minor)	0x0	0x1
7012	0x2305B90	0x2307700	rodata_subtable_ptr		
7014	0x2305B98	0x1	small_key (fmt<<8|minor)	0x0	0x1
7024	0x2305BC0	0x23076E0	rodata_subtable_ptr		
7026	0x2305BC8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7028	0x2305BD0	0x23076C0	rodata_subtable_ptr		
7030	0x2305BD8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7040	0x2305C00	0x23076A0	rodata_subtable_ptr		
7042	0x2305C08	0x1	small_key (fmt<<8|minor)	0x0	0x1
7044	0x2305C10	0x2307680	rodata_subtable_ptr		
7046	0x2305C18	0x1	small_key (fmt<<8|minor)	0x0	0x1
7052	0x2305C30	0x2307620	rodata_subtable_ptr		
7054	0x2305C38	0x4	small_key (fmt<<8|minor)	0x0	0x4
7072	0x2305C80	0x2307580	rodata_subtable_ptr		
7074	0x2305C88	0x6	small_key (fmt<<8|minor)	0x0	0x6
7076	0x2305C90	0x2307550	rodata_subtable_ptr		
7078	0x2305C98	0x1	small_key (fmt<<8|minor)	0x0	0x1
7080	0x2305CA0	0x2307530	rodata_subtable_ptr		
7082	0x2305CA8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7084	0x2305CB0	0x2307510	rodata_subtable_ptr		
7086	0x2305CB8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7092	0x2305CD0	0x23074F0	rodata_subtable_ptr		
7094	0x2305CD8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7096	0x2305CE0	0x23074D0	rodata_subtable_ptr		
7098	0x2305CE8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7100	0x2305CF0	0x23074B0	rodata_subtable_ptr		
7102	0x2305CF8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7112	0x2305D20	0x2307420	rodata_subtable_ptr		
7114	0x2305D28	0x6	small_key (fmt<<8|minor)	0x0	0x6
7128	0x2305D60	0x23073A0	rodata_subtable_ptr		
7130	0x2305D68	0x5	small_key (fmt<<8|minor)	0x0	0x5
7132	0x2305D70	0x23072C0	rodata_subtable_ptr		
7134	0x2305D78	0x9	small_key (fmt<<8|minor)	0x0	0x9
7136	0x2305D80	0x2307290	rodata_subtable_ptr		
7138	0x2305D88	0x1	small_key (fmt<<8|minor)	0x0	0x1
7140	0x2305D90	0x2307240	rodata_subtable_ptr		
7142	0x2305D98	0x3	small_key (fmt<<8|minor)	0x0	0x3
7144	0x2305DA0	0x2307200	rodata_subtable_ptr		
7146	0x2305DA8	0x2	small_key (fmt<<8|minor)	0x0	0x2
7148	0x2305DB0	0x2307160	rodata_subtable_ptr		
7150	0x2305DB8	0x6	small_key (fmt<<8|minor)	0x0	0x6
7152	0x2305DC0	0x23070C0	rodata_subtable_ptr		
7154	0x2305DC8	0x6	small_key (fmt<<8|minor)	0x0	0x6
7156	0x2305DD0	0x2307020	rodata_subtable_ptr		
7158	0x2305DD8	0x6	small_key (fmt<<8|minor)	0x0	0x6
7160	0x2305DE0	0x2306FC0	rodata_subtable_ptr		
7162	0x2305DE8	0x3	small_key (fmt<<8|minor)	0x0	0x3
7164	0x2305DF0	0x2306F20	rodata_subtable_ptr		
7166	0x2305DF8	0x6	small_key (fmt<<8|minor)	0x0	0x6
7168	0x2305E00	0x2306E40	rodata_subtable_ptr		
7170	0x2305E08	0x9	small_key (fmt<<8|minor)	0x0	0x9
7172	0x2305E10	0x2306DA0	rodata_subtable_ptr		
7174	0x2305E18	0x6	small_key (fmt<<8|minor)	0x0	0x6
7176	0x2305E20	0x2306D00	rodata_subtable_ptr		
7178	0x2305E28	0x6	small_key (fmt<<8|minor)	0x0	0x6
7180	0x2305E30	0x2306C60	rodata_subtable_ptr		
7182	0x2305E38	0x6	small_key (fmt<<8|minor)	0x0	0x6
7184	0x2305E40	0x2306C00	rodata_subtable_ptr		
7186	0x2305E48	0x3	small_key (fmt<<8|minor)	0x0	0x3
7188	0x2305E50	0x2306BA0	rodata_subtable_ptr		
7190	0x2305E58	0x3	small_key (fmt<<8|minor)	0x0	0x3
7192	0x2305E60	0x2306B40	rodata_subtable_ptr		
7194	0x2305E68	0x3	small_key (fmt<<8|minor)	0x0	0x3
7196	0x2305E70	0x2306B00	rodata_subtable_ptr		
7198	0x2305E78	0x2	small_key (fmt<<8|minor)	0x0	0x2
7204	0x2305E90	0x2306AC0	rodata_subtable_ptr		
7206	0x2305E98	0x2	small_key (fmt<<8|minor)	0x0	0x2
7252	0x2305F50	0x2306A80	rodata_subtable_ptr		
7254	0x2305F58	0x2	small_key (fmt<<8|minor)	0x0	0x2
7256	0x2305F60	0x2306A50	rodata_subtable_ptr		
7258	0x2305F68	0x1	small_key (fmt<<8|minor)	0x0	0x1
7268	0x2305F90	0x2306A20	rodata_subtable_ptr		
7270	0x2305F98	0x2	small_key (fmt<<8|minor)	0x0	0x2
7280	0x2305FC0	0x23069C0	rodata_subtable_ptr		
7282	0x2305FC8	0x4	small_key (fmt<<8|minor)	0x0	0x4
7292	0x2305FF0	0x2306990	rodata_subtable_ptr		
7294	0x2305FF8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7300	0x2306010	0x2306960	rodata_subtable_ptr		
7302	0x2306018	0x2	small_key (fmt<<8|minor)	0x0	0x2
7304	0x2306020	0x2306920	rodata_subtable_ptr		
7306	0x2306028	0x2	small_key (fmt<<8|minor)	0x0	0x2
7324	0x2306070	0x23068E0	rodata_subtable_ptr		
7326	0x2306078	0x2	small_key (fmt<<8|minor)	0x0	0x2
7344	0x23060C0	0x23068A0	rodata_subtable_ptr		
7346	0x23060C8	0x2	small_key (fmt<<8|minor)	0x0	0x2
7356	0x23060F0	0x2306860	rodata_subtable_ptr		
7358	0x23060F8	0x2	small_key (fmt<<8|minor)	0x0	0x2
7376	0x2306140	0x2306820	rodata_subtable_ptr		
7378	0x2306148	0x2	small_key (fmt<<8|minor)	0x0	0x2
7384	0x2306160	0x2306780	rodata_subtable_ptr		
7386	0x2306168	0x6	small_key (fmt<<8|minor)	0x0	0x6
7388	0x2306170	0x2306750	rodata_subtable_ptr		
7390	0x2306178	0x1	small_key (fmt<<8|minor)	0x0	0x1
7416	0x23061E0	0x23065E0	rodata_subtable_ptr		
7418	0x23061E8	0xF	small_key (fmt<<8|minor)	0x0	0xF
7420	0x23061F0	0x2306580	rodata_subtable_ptr		
7422	0x23061F8	0x3	small_key (fmt<<8|minor)	0x0	0x3
7424	0x2306200	0x2306520	rodata_subtable_ptr		
7426	0x2306208	0x3	small_key (fmt<<8|minor)	0x0	0x3
7428	0x2306210	0x23064C0	rodata_subtable_ptr		
7430	0x2306218	0x3	small_key (fmt<<8|minor)	0x0	0x3
7432	0x2306220	0x2306480	rodata_subtable_ptr		
7434	0x2306228	0x2	small_key (fmt<<8|minor)	0x0	0x2
7464	0x23062A0	0x2306380	rodata_subtable_ptr		
7466	0x23062A8	0xA	small_key (fmt<<8|minor)	0x0	0xA
7468	0x23062B0	0x2306350	rodata_subtable_ptr		
7470	0x23062B8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7472	0x23062C0	0x2306330	rodata_subtable_ptr		
7474	0x23062C8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7476	0x23062D0	0x2306310	rodata_subtable_ptr		
7478	0x23062D8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7480	0x23062E0	0x23062F0	rodata_subtable_ptr		
7482	0x23062E8	0x1	small_key (fmt<<8|minor)	0x0	0x1
7484	0x23062F0	0x200	small_key (fmt<<8|minor)	0x2	0x0
7486	0x23062F8	0x132AA40	text_handler_ptr		
